properties_coddep,properties_codtypbien,properties_anneemut,properties_valeurfonc,properties_sterr,properties_sbati,id
02,132,2019,43000.0,1070.0,0.0,4
02,132,2020,118900.0,1914.0,0.0,5
02,132,2021,147900.0,6099.0,0.0,5
02,132,2022,989058.0,34884.0,0.0,20
02,132,2023,606429.2,65341.0,0.0,13
02,151,2014,81500.0,625.0,138.0,1
02,151,2015,437600.0,1990.0,965.0,4
02,151,2016,1181655.0,16711.0,1380.0,5
02,151,2017,492000.0,5200.0,1980.0,6
02,151,2018,272000.0,2286.0,975.0,3
02,151,2019,1037000.0,6196.0,1665.0,5
02,151,2020,387000.0,24023.0,930.0,2
02,151,2021,1823750.0,5242.0,3048.0,8
02,151,2022,483200.0,2804.0,1172.0,5
02,151,2023,1149400.0,81936.0,3353.0,7
02,152,2014,10616194.07,5049021.0,86616.0,30
02,152,2015,23894500.0,3596660.0,28803.0,31
02,152,2016,3860959.62,327357.0,6311.0,26
02,152,2017,6839485.0,100303.0,16368.0,37
02,152,2018,16476465.0,408167.0,203918.0,34
02,152,2019,9249050.81,568878.0,26063.0,57
02,152,2020,7296074.0,286236.0,18462.0,43
02,152,2021,8846039.0,637439.0,27119.0,57
02,152,2022,4983340.23,75800.0,25099.0,32
02,152,2023,5966935.0,73163.0,11376.0,42
02,221,2014,822047.0,47012.0,0.0,52
02,221,2015,819594.91,44873.0,0.0,50
02,221,2016,559611.2,35958.0,0.0,48
02,221,2017,787291.0,29240.0,0.0,42
02,221,2018,923239.3,105711.0,0.0,51
02,221,2019,864216.0,37734.0,0.0,53
02,221,2020,999459.0,62111.0,0.0,59
02,221,2021,915396.4,66665.0,0.0,67
02,221,2022,718600.0,62665.0,0.0,54
02,221,2023,997187.5,109764.0,0.0,64
02,223,2018,2500.0,180.0,0.0,1
02,223,2020,104.0,326.0,0.0,1
02,223,2022,51.2,160.0,0.0,1
02,229,2014,2499810.5,69579.0,0.0,59
02,229,2015,822842.0,24475.0,0.0,48
02,229,2016,1784411.66,204805.0,0.0,62
02,229,2017,2021674.3,249524.0,0.0,56
02,229,2018,1700976.28,50844.0,0.0,47
02,229,2019,1733293.6400000001,39445.0,0.0,47
02,229,2020,2538994.0,54270.0,0.0,55
02,229,2021,1783481.2,37640.0,0.0,57
02,229,2022,2594564.8,64486.0,0.0,76
02,229,2023,2667221.18,60320.0,0.0,60
02,232,2014,1956412.59,2877518.0,0.0,68
02,232,2015,1003664.8999999999,1170476.0,0.0,69
02,232,2016,2375648.28,5005087.0,0.0,78
02,232,2017,1887217.82,2263269.0,0.0,74
02,232,2018,1106424.68,1433536.0,0.0,73
02,232,2019,9482192.0,10206039.0,0.0,93
02,232,2020,814051.07,1344661.0,0.0,70
02,232,2021,2253984.29,3460608.0,0.0,86
02,232,2022,2043952.35,2453239.0,0.0,81
02,232,2023,1723123.0,2422928.0,0.0,82
02,233,2014,40576.0,27041.0,0.0,10
02,233,2015,1430129.08,151659.0,0.0,18
02,233,2016,46889.0,30888.0,0.0,6
02,233,2017,353755.0,61568.0,0.0,8
02,233,2018,76762.79000000001,59422.0,0.0,11
02,233,2019,148679.0,44788.0,0.0,10
02,233,2020,168885.05,34802.0,0.0,8
02,233,2021,213252.2,52369.0,0.0,14
02,233,2022,91900.0,103065.0,0.0,7
02,233,2023,304397.0,73927.0,0.0,8
02,239,2014,1400.0,6348.0,0.0,1
02,239,2015,56000.0,13006.0,0.0,2
02,239,2016,16500.0,41783.0,0.0,2
02,239,2017,122960.0,18346.0,0.0,4
02,239,2018,7209.04,15026.0,0.0,3
02,239,2020,2608.0,4461.0,0.0,1
02,239,2021,13500.0,12248.0,0.0,2
02,239,2022,115500.0,107311.0,0.0,4
02,239,2023,417000.0,477679.0,0.0,3
02,2311,2014,2953710.0,48633.0,0.0,14
02,2311,2015,3548505.25,62091.0,0.0,26
02,2311,2016,3123285.0,52989.0,0.0,13
02,2311,2017,4299141.0,64160.0,0.0,17
02,2311,2018,3786080.0,43038.0,0.0,11
02,2311,2019,3391403.0,48111.0,0.0,17
02,2311,2020,1710338.0,22142.0,0.0,8
02,2311,2021,5830667.02,78598.0,0.0,25
02,2311,2022,5590322.0,78081.0,0.0,24
02,2311,2023,4328615.99,57567.0,0.0,16
02,2312,2014,159100.0,5431.0,0.0,5
02,2312,2015,208500.0,9162.0,0.0,6
02,2312,2016,126600.0,6719.0,0.0,6
02,2312,2017,152550.0,1872.0,0.0,3
02,2312,2018,66062.0,6371.0,0.0,3
02,2312,2019,108325.6,9136.0,0.0,5
02,2312,2020,172850.0,12595.0,0.0,7
02,2312,2021,53205.0,5198.0,0.0,5
02,2312,2022,92500.0,3709.0,0.0,4
02,2312,2023,69500.0,12896.0,0.0,4
02,2313,2014,4807842.46,4464622.0,0.0,193
02,2313,2015,13647193.75,14793367.0,0.0,203
02,2313,2016,4605962.01,3937419.0,0.0,147
02,2313,2017,9035638.06,7877579.0,0.0,206
02,2313,2018,11076516.47,10015054.0,0.0,178
02,2313,2019,6335032.88,5981301.0,0.0,175
02,2313,2020,6673874.63,7012124.0,0.0,149
02,2313,2021,7788099.28,7452453.0,0.0,223
02,2313,2022,12033272.41,8869560.0,0.0,206
02,2313,2023,12969345.89,8797554.0,0.0,198
02,2319,2022,3562.5,11038.0,0.0,1
03,14,2014,6164202.5,82968.0,22196.0,45
03,14,2015,19479885.009999998,320075.0,34013.0,57
03,14,2016,11336687.95,203670.0,33335.0,49
03,14,2017,9726726.98,264426.0,33087.0,48
03,14,2018,9243421.98,4137782.0,25028.0,58
03,14,2019,11432604.3,344461.0,46475.0,47
03,14,2020,21020472.14,1909992.0,72380.0,71
03,14,2021,19085890.6,1225580.0,85865.0,91
03,14,2022,10644668.41,572423.0,46306.0,67
03,14,2023,17703791.2,350043.0,118537.0,77
03,20,2014,2333108.22,3581021.0,0.0,80
03,20,2015,5300986.92,7850939.0,0.0,86
03,20,2016,2162935.0,3458303.0,0.0,67
03,20,2017,4005706.05,8230675.0,0.0,97
03,20,2018,6423018.9,11781044.0,0.0,92
03,20,2019,4454991.5,6387641.0,0.0,77
03,20,2020,10061841.47,13286299.0,0.0,103
03,20,2021,6300820.4,8118216.0,0.0,111
03,20,2022,4971218.74,6237959.0,0.0,103
03,20,2023,4989715.94,6163552.0,0.0,109
03,21,2014,4828669.84,243952.0,0.0,106
03,21,2015,6804221.32,551017.0,0.0,90
03,21,2016,4651624.35,797910.0,0.0,126
03,21,2017,5435684.39,1072566.0,0.0,145
03,21,2018,3407411.7600000002,248299.0,0.0,99
03,21,2019,5844863.89,197301.0,0.0,116
03,21,2020,4536515.92,175929.0,0.0,100
03,21,2021,6255673.5600000005,435687.0,0.0,146
03,21,2022,5381341.87,185795.0,0.0,127
